candidate_id,rank,score,reasoning
CAND_0006567,12,0.7289,"Senior AI Engineer (7.9 yrs) at Meta, Noida, Uttar Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.79, recently active, no major flags."
CAND_0055905,13,0.7274,"Senior Machine Learning Engineer (8.1 yrs) at Flipkart, London; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0096142,14,0.7155,"Applied ML Engineer (5.0 yrs) at upGrad, Hyderabad, Telangana; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.84, recently active, no major flags."
CAND_0039754,15,0.6967,"Senior Applied Scientist (16.2 yrs) at Meta, Indore, Madhya Pradesh; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: experience (16.2 yrs) is outside the 5-9yr sweet spot."
CAND_0075249,16,0.6967,"Applied ML Engineer (6.2 yrs) at Zomato, Ahmedabad, Gujarat; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.82, recently active, no major flags."
CAND_0046064,17,0.6930,"Senior NLP Engineer (8.9 yrs) at Salesforce, Coimbatore, Tamil Nadu; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.78, recently active, no major flags."
CAND_0070398,18,0.6913,"Machine Learning Engineer (7.2 yrs) at Genpact AI, Kochi, Kerala; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.60, recently active, no major flags."
CAND_0062247,19,0.6821,"AI Engineer (7.3 yrs) at Google, Kochi, Kerala; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.78, recently active, no major flags."
CAND_0011687,20,0.6774,"Senior NLP Engineer (7.8 yrs) at Niramai, Indore, Madhya Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.89, recently active, no major flags."
CAND_0070525,21,0.6771,"Senior Software Engineer (ML) (5.4 yrs) at Mad Street Den, Hyderabad, Telangana; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.93, recently active, no major flags."
CAND_0061257,22,0.6673,"Staff Machine Learning Engineer (8.0 yrs) at LinkedIn, Noida, Uttar Pradesh; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.87, recently active, no major flags."
CAND_0095619,23,0.6662,"NLP Engineer (15.6 yrs) at Nykaa, Mumbai, Maharashtra; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: experience (15.6 yrs) is outside the 5-9yr sweet spot."
CAND_0083307,24,0.6640,"Search Engineer (7.8 yrs) at CRED, Vizag, Andhra Pradesh; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.70, recently active, no major flags."
CAND_0093763,25,0.6634,"Senior Software Engineer (ML) (5.0 yrs) at Swiggy, Noida, Uttar Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.92, recently active, no major flags."
CAND_0018722,26,0.6532,"Recommendation Systems Engineer (6.6 yrs) at Saarthi.ai, Toronto; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0053605,27,0.6504,"Senior Software Engineer (ML) (6.9 yrs) at Verloop.io, Noida, Uttar Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.88, recently active, no major flags."
CAND_0013536,28,0.6442,"Applied ML Engineer (14.1 yrs) at Haptik, Trivandrum, Kerala; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.87, recently active, no major flags."
CAND_0052335,29,0.6430,"Applied ML Engineer (6.4 yrs) at Aganitha, Berlin; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0041669,30,0.6426,"Recommendation Systems Engineer (8.0 yrs) at CRED, Noida, Uttar Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.77, recently active, no major flags."
CAND_0002344,31,0.6384,"Senior Software Engineer (ML) (4.7 yrs) at upGrad, Chennai, Tamil Nadu; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.83, recently active, no major flags."
CAND_0047542,32,0.6374,"Senior Software Engineer (ML) (5.0 yrs) at Meesho, Chennai, Tamil Nadu; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.75, recently active, no major flags."
CAND_0027801,33,0.6349,"NLP Engineer (7.4 yrs) at InMobi, Hyderabad, Telangana; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.65, recently active, no major flags."
CAND_0061265,34,0.6328,"Recommendation Systems Engineer (6.6 yrs) at Zoho, Delhi, Delhi; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.94, recently active, no major flags."
CAND_0017960,35,0.6297,"Recommendation Systems Engineer (7.7 yrs) at Nykaa, Bangalore, Karnataka; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.72, recently active, no major flags."
CAND_0007009,36,0.6242,"Recommendation Systems Engineer (7.9 yrs) at Wysa, Noida, Uttar Pradesh; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.62, recently active, no major flags."
CAND_0010770,37,0.6209,"Recommendation Systems Engineer (15.2 yrs) at Aganitha, Kolkata, West Bengal; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: experience (15.2 yrs) is outside the 5-9yr sweet spot."
CAND_0037566,38,0.6204,"Machine Learning Engineer (6.9 yrs) at LinkedIn, Bangalore, Karnataka; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.50, recently active, no major flags."
CAND_0037980,39,0.6183,"Senior Applied Scientist (9.0 yrs) at Niramai, Kolkata, West Bengal; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.63, recently active, no major flags."
CAND_0058688,40,0.6163,"AI Engineer (6.7 yrs) at Vedantu, Berlin; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0043637,41,0.6144,"Junior ML Engineer (5.5 yrs) at Rephrase.ai, Delhi, Delhi; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.92, recently active, no major flags."
CAND_0028793,42,0.6136,"Search Engineer (7.2 yrs) at Google, Trivandrum, Kerala; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.57, recently active, no major flags."
CAND_0030784,43,0.6120,"Data Scientist (4.4 yrs) at Yellow.ai, Delhi, Delhi; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.90, recently active, no major flags."
CAND_0051692,44,0.6098,"Senior Software Engineer (ML) (3.4 yrs) at Unacademy, Bangalore, Karnataka; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.80, recently active, no major flags."
CAND_0076163,45,0.6054,"NLP Engineer (6.9 yrs) at Ola, Chandigarh, Chandigarh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.84, recently active, no major flags."
CAND_0042100,46,0.6045,"Machine Learning Engineer (7.3 yrs) at Freshworks, Singapore; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0010257,47,0.6037,"Senior Data Scientist (6.5 yrs) at Google, Noida, Uttar Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.72, recently active, no major flags."
CAND_0072660,48,0.6000,"Machine Learning Engineer (7.1 yrs) at Unacademy, Berlin; covers 4/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0067866,49,0.5945,"Senior Software Engineer (ML) (6.4 yrs) at Tech Mahindra, Noida, Uttar Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.79, recently active, no major flags."
CAND_0052744,50,0.5941,"Senior Software Engineer (ML) (4.9 yrs) at Niramai, Bhubaneswar, Odisha; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.79, recently active, no major flags."
CAND_0072768,51,0.5929,"Senior Software Engineer (ML) (3.9 yrs) at Niramai, Bangalore, Karnataka; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.78, recently active, no major flags."
CAND_0016163,52,0.5926,"Applied ML Engineer (6.7 yrs) at Dream11, Gurgaon, Haryana; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.72, recently active, no major flags."
CAND_0087744,53,0.5909,"Senior Software Engineer (ML) (3.9 yrs) at Niramai, Indore, Madhya Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.88, recently active, no major flags."
CAND_0077498,54,0.5908,"Senior Software Engineer (ML) (5.4 yrs) at Niramai, Ahmedabad, Gujarat; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.89, recently active, no major flags."
CAND_0072688,55,0.5879,"Data Scientist (6.9 yrs) at Niramai, Pune, Maharashtra; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.87, recently active, no major flags."
CAND_0044222,56,0.5853,"AI Engineer (7.7 yrs) at PolicyBazaar, Vizag, Andhra Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.60, recently active, no major flags."
CAND_0034177,57,0.5819,"Senior Software Engineer (ML) (3.6 yrs) at Mad Street Den, Ahmedabad, Gujarat; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.82, recently active, no major flags."
CAND_0054546,58,0.5803,"AI Research Engineer (4.9 yrs) at Razorpay, Pune, Maharashtra; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.92, recently active, no major flags."
CAND_0082086,59,0.5775,"Senior Software Engineer (ML) (6.0 yrs) at Razorpay, Delhi, Delhi; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.85, recently active, no major flags."
CAND_0083852,60,0.5770,"Data Scientist (6.0 yrs) at Mad Street Den, Ahmedabad, Gujarat; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.85, recently active, no major flags."
CAND_0045778,61,0.5768,"Senior Software Engineer (ML) (4.4 yrs) at PhonePe, Ahmedabad, Gujarat; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.83, recently active, no major flags."
CAND_0043829,62,0.5761,"AI Research Engineer (4.8 yrs) at Observe.AI, Bangalore, Karnataka; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.78, recently active, no major flags."
CAND_0048558,63,0.5739,"Data Scientist (6.7 yrs) at Rephrase.ai, Noida, Uttar Pradesh; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.80, recently active, no major flags."
CAND_0093193,64,0.5716,"Senior Machine Learning Engineer (7.9 yrs) at Niramai, Bangalore, Karnataka; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.61, recently active, no major flags."
CAND_0053591,65,0.5713,"AI Engineer (5.3 yrs) at Ola, Toronto; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0015097,66,0.5708,"Senior Software Engineer (ML) (6.0 yrs) at Zoho, Coimbatore, Tamil Nadu; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.69, recently active, no major flags."
CAND_0026532,67,0.5694,"Recommendation Systems Engineer (4.8 yrs) at Zomato, Chennai, Tamil Nadu; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.52, recently active, no major flags."
CAND_0065786,68,0.5689,"AI Specialist (4.9 yrs) at Swiggy, Indore, Madhya Pradesh; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.89, recently active, no major flags."
CAND_0073007,69,0.5689,"AI Specialist (5.8 yrs) at Aganitha, Bangalore, Karnataka; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.83, recently active, no major flags."
CAND_0098454,70,0.5684,"AI Specialist (6.6 yrs) at Meesho, Indore, Madhya Pradesh; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.87, recently active, no major flags."
CAND_0073314,71,0.5655,"Senior Software Engineer (ML) (5.2 yrs) at Aganitha, Noida, Uttar Pradesh; doesn't clearly cover the JD's core skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.84, recently active, no major flags."
CAND_0092706,72,0.5646,"AI Research Engineer (5.8 yrs) at Unacademy, Delhi, Delhi; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.78, recently active, no major flags."
CAND_0068811,73,0.5620,"Applied ML Engineer (8.0 yrs) at Freshworks, Pune, Maharashtra; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.42, recently active, no major flags."
CAND_0070514,74,0.5615,"AI Specialist (5.5 yrs) at Glance, Bangalore, Karnataka; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.80, recently active, no major flags."
CAND_0024878,75,0.5614,"AI Specialist (5.7 yrs) at HCL, Vizag, Andhra Pradesh; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.84, recently active, no major flags."
CAND_0091909,76,0.5612,"Machine Learning Engineer (6.9 yrs) at Rephrase.ai, Bangalore, Karnataka; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.65, recently active, no major flags."
CAND_0005649,77,0.5606,"Senior Data Scientist (7.4 yrs) at Sarvam AI, Delhi, Delhi; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.57, recently active, no major flags."
CAND_0010685,78,0.5599,"NLP Engineer (6.7 yrs) at Rephrase.ai, Kolkata, West Bengal; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.83, recently active, no major flags."
CAND_0095528,79,0.5599,"Senior Data Scientist (5.3 yrs) at Netflix, Indore, Madhya Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.55, recently active, no major flags."
CAND_0008295,80,0.5598,"AI Research Engineer (6.5 yrs) at Razorpay, Pune, Maharashtra; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.89, recently active, no major flags."
CAND_0011326,81,0.5598,"Data Scientist (4.1 yrs) at Haptik, Kochi, Kerala; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.79, recently active, no major flags."
CAND_0025882,82,0.5575,"Senior Software Engineer (ML) (5.6 yrs) at Freshworks, Chennai, Tamil Nadu; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.79, recently active, no major flags."
CAND_0098846,83,0.5568,"AI Engineer (7.6 yrs) at upGrad, Indore, Madhya Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.62, recently active, no major flags."
CAND_0039383,84,0.5549,"Applied ML Engineer (7.1 yrs) at Meesho, Gurgaon, Haryana; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.61, recently active, no major flags."
CAND_0044213,85,0.5525,"AI Specialist (3.7 yrs) at Haptik, Bangalore, Karnataka; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.89, recently active, no major flags."
CAND_0004402,86,0.5511,"AI Research Engineer (6.0 yrs) at Yellow.ai, Delhi, Delhi; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.83, recently active, no major flags."
CAND_0055992,87,0.5511,"AI Engineer (16.9 yrs) at CRED, Sydney; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: experience (16.9 yrs) is outside the 5-9yr sweet spot; location/relocation fit is weak."
CAND_0029117,88,0.5485,"Senior Software Engineer (ML) (5.6 yrs) at Freshworks, Kochi, Kerala; doesn't clearly cover the JD's core skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.72, recently active, no major flags."
CAND_0076251,89,0.5470,"Search Engineer (7.6 yrs) at Haptik, Bhubaneswar, Odisha; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.51, recently active, no major flags."
CAND_0089495,90,0.5459,"Senior Software Engineer (ML) (4.3 yrs) at Swiggy, Jaipur, Rajasthan; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.72, recently active, no major flags."
CAND_0018613,91,0.5452,"Senior Software Engineer (ML) (4.8 yrs) at Haptik, Kochi, Kerala; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.39, recently active, no major flags."
CAND_0044883,92,0.5446,"AI Engineer (6.3 yrs) at Mad Street Den, Berlin; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0037160,93,0.5437,"Data Scientist (6.0 yrs) at Haptik, Mumbai, Maharashtra; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.74, recently active, no major flags."
CAND_0093401,94,0.5432,"AI Specialist (6.0 yrs) at Haptik, Kolkata, West Bengal; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.85, recently active, no major flags."
CAND_0054271,95,0.5431,"Senior Software Engineer (ML) (5.8 yrs) at Verloop.io, Kochi, Kerala; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.78, recently active, no major flags."
CAND_0062413,96,0.5426,"AI Research Engineer (6.6 yrs) at upGrad, Mumbai, Maharashtra; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.71, recently active, no major flags."
CAND_0057736,97,0.5420,"Computer Vision Engineer (6.2 yrs) at Mad Street Den, Coimbatore, Tamil Nadu; covers 3/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.92, recently active, no major flags."
CAND_0081480,98,0.5401,"Computer Vision Engineer (5.6 yrs) at Sarvam AI, Noida, Uttar Pradesh; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.85, recently active, no major flags."
CAND_0045250,99,0.5397,"Applied ML Engineer (6.6 yrs) at Rephrase.ai, Delhi, Delhi; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.74, recently active, no major flags."
CAND_0038821,100,0.5365,"AI Specialist (4.3 yrs) at upGrad, Gurgaon, Haryana; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.81, recently active, no major flags."
