candidate_id,rank,score,reasoning
CAND_0072688,54,0.5374,"Data Scientist (6.9 yrs) at Niramai, Pune, Maharashtra; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.87, recently active, no major flags."
CAND_0044222,55,0.5367,"AI Engineer (7.7 yrs) at PolicyBazaar, Vizag, Andhra Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.11). Recruiter response rate 0.60, recently active, no major flags."
CAND_0077498,56,0.5367,"Senior Software Engineer (ML) (5.4 yrs) at Niramai, Ahmedabad, Gujarat; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.89, recently active, no major flags."
CAND_0034177,57,0.5320,"Senior Software Engineer (ML) (3.6 yrs) at Mad Street Den, Ahmedabad, Gujarat; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.82, recently active, no major flags."
CAND_0054546,58,0.5276,"AI Research Engineer (4.9 yrs) at Razorpay, Pune, Maharashtra; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.92, recently active, no major flags."
CAND_0045778,59,0.5269,"Senior Software Engineer (ML) (4.4 yrs) at PhonePe, Ahmedabad, Gujarat; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.83, recently active, no major flags."
CAND_0083852,60,0.5269,"Data Scientist (6.0 yrs) at Mad Street Den, Ahmedabad, Gujarat; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.85, recently active, no major flags."
CAND_0082086,61,0.5261,"Senior Software Engineer (ML) (6.0 yrs) at Razorpay, Delhi, Delhi; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.85, recently active, no major flags."
CAND_0043829,62,0.5248,"AI Research Engineer (4.8 yrs) at Observe.AI, Bangalore, Karnataka; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.78, recently active, no major flags."
CAND_0053591,63,0.5233,"AI Engineer (5.3 yrs) at Ola, Toronto; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0048558,64,0.5223,"Data Scientist (6.7 yrs) at Rephrase.ai, Noida, Uttar Pradesh; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.80, recently active, no major flags."
CAND_0026532,65,0.5216,"Recommendation Systems Engineer (4.8 yrs) at Zomato, Chennai, Tamil Nadu; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.11). Recruiter response rate 0.52, recently active, no major flags."
CAND_0065786,66,0.5216,"AI Specialist (4.9 yrs) at Swiggy, Indore, Madhya Pradesh; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.89, recently active, no major flags."
CAND_0093193,67,0.5197,"Senior Machine Learning Engineer (7.9 yrs) at Niramai, Bangalore, Karnataka; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.61, recently active, no major flags."
CAND_0073007,68,0.5190,"AI Specialist (5.8 yrs) at Aganitha, Bangalore, Karnataka; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.83, recently active, no major flags."
CAND_0098454,69,0.5176,"AI Specialist (6.6 yrs) at Meesho, Indore, Madhya Pradesh; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.87, recently active, no major flags."
CAND_0015097,70,0.5173,"Senior Software Engineer (ML) (6.0 yrs) at Zoho, Coimbatore, Tamil Nadu; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.69, recently active, no major flags."
CAND_0073314,71,0.5158,"Senior Software Engineer (ML) (5.2 yrs) at Aganitha, Noida, Uttar Pradesh; doesn't clearly cover the JD's core skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.84, recently active, no major flags."
CAND_0092706,72,0.5156,"AI Research Engineer (5.8 yrs) at Unacademy, Delhi, Delhi; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.78, recently active, no major flags."
CAND_0005649,73,0.5137,"Senior Data Scientist (7.4 yrs) at Sarvam AI, Delhi, Delhi; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.11). Recruiter response rate 0.57, recently active, no major flags."
CAND_0070514,74,0.5128,"AI Specialist (5.5 yrs) at Glance, Bangalore, Karnataka; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.80, recently active, no major flags."
CAND_0068811,75,0.5126,"Applied ML Engineer (8.0 yrs) at Freshworks, Pune, Maharashtra; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.42, recently active, no major flags."
CAND_0024878,76,0.5124,"AI Specialist (5.7 yrs) at HCL, Vizag, Andhra Pradesh; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.84, recently active, no major flags."
CAND_0010685,77,0.5121,"NLP Engineer (6.7 yrs) at Rephrase.ai, Kolkata, West Bengal; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.83, recently active, no major flags."
CAND_0091909,78,0.5117,"Machine Learning Engineer (6.9 yrs) at Rephrase.ai, Bangalore, Karnataka; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.65, recently active, no major flags."
CAND_0095528,79,0.5112,"Senior Data Scientist (5.3 yrs) at Netflix, Indore, Madhya Pradesh; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.55, recently active, no major flags."
CAND_0008295,80,0.5110,"AI Research Engineer (6.5 yrs) at Razorpay, Pune, Maharashtra; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.89, recently active, no major flags."
CAND_0011326,81,0.5094,"Data Scientist (4.1 yrs) at Haptik, Kochi, Kerala; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.79, recently active, no major flags."
CAND_0025882,82,0.5088,"Senior Software Engineer (ML) (5.6 yrs) at Freshworks, Chennai, Tamil Nadu; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.79, recently active, no major flags."
CAND_0098846,83,0.5070,"AI Engineer (7.6 yrs) at upGrad, Indore, Madhya Pradesh; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.62, recently active, no major flags."
CAND_0039383,84,0.5066,"Applied ML Engineer (7.1 yrs) at Meesho, Gurgaon, Haryana; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.61, recently active, no major flags."
CAND_0044213,85,0.5059,"AI Specialist (3.7 yrs) at Haptik, Bangalore, Karnataka; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.89, recently active, no major flags."
CAND_0055992,86,0.5059,"AI Engineer (16.9 yrs) at CRED, Sydney; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Career narrative has moderate JD vocabulary alignment (sim=0.10). Concerns: experience (16.9 yrs) is outside the 5-9yr sweet spot; location/relocation fit is weak."
CAND_0004402,87,0.5040,"AI Research Engineer (6.0 yrs) at Yellow.ai, Delhi, Delhi; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.83, recently active, no major flags."
CAND_0029117,88,0.4992,"Senior Software Engineer (ML) (5.6 yrs) at Freshworks, Kochi, Kerala; doesn't clearly cover the JD's core skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.72, recently active, no major flags."
CAND_0076251,89,0.4992,"Search Engineer (7.6 yrs) at Haptik, Bhubaneswar, Odisha; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.51, recently active, no major flags."
CAND_0044883,90,0.4980,"AI Engineer (6.3 yrs) at Mad Street Den, Berlin; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Concerns: location/relocation fit is weak."
CAND_0037160,91,0.4968,"Data Scientist (6.0 yrs) at Haptik, Mumbai, Maharashtra; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.74, recently active, no major flags."
CAND_0018613,92,0.4966,"Senior Software Engineer (ML) (4.8 yrs) at Haptik, Kochi, Kerala; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.39, recently active, no major flags."
CAND_0062413,93,0.4952,"AI Research Engineer (6.6 yrs) at upGrad, Mumbai, Maharashtra; covers 2/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.71, recently active, no major flags."
CAND_0089495,94,0.4952,"Senior Software Engineer (ML) (4.3 yrs) at Swiggy, Jaipur, Rajasthan; covers 2/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.72, recently active, no major flags."
CAND_0057736,95,0.4941,"Computer Vision Engineer (6.2 yrs) at Mad Street Den, Coimbatore, Tamil Nadu; covers 3/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.92, recently active, no major flags."
CAND_0093401,96,0.4941,"AI Specialist (6.0 yrs) at Haptik, Kolkata, West Bengal; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.85, recently active, no major flags."
CAND_0054271,97,0.4933,"Senior Software Engineer (ML) (5.8 yrs) at Verloop.io, Kochi, Kerala; covers 1/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.78, recently active, no major flags."
CAND_0081480,98,0.4930,"Computer Vision Engineer (5.6 yrs) at Sarvam AI, Noida, Uttar Pradesh; covers 1/4 core JD skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.85, recently active, no major flags."
CAND_0045250,99,0.4926,"Applied ML Engineer (6.6 yrs) at Rephrase.ai, Delhi, Delhi; covers 3/4 core JD skill pillars. Title sits squarely in the JD's target ladder. Recruiter response rate 0.74, recently active, no major flags."
CAND_0073883,100,0.4895,"AI Specialist (5.3 yrs) at Krutrim, Chandigarh, Chandigarh; doesn't clearly cover the JD's core skill pillars. Title is adjacent to the target role, not an exact match. Recruiter response rate 0.92, recently active, no major flags."
